sep=;
"Series";"Time";"Value"
"Raspi_03";"2021-10-01T11:34:30+02:00";535.4130859375
"Raspi_03";"2021-10-01T11:34:32+02:00";535.3746948242188
"Raspi_03";"2021-10-01T11:34:34+02:00";537.48583984375
"Raspi_03";"2021-10-01T11:34:36+02:00";538.1661987304688
"Raspi_03";"2021-10-01T11:34:38+02:00";538.146728515625
"Raspi_03";"2021-10-01T11:34:41+02:00";541.6451416015625
"Raspi_03";"2021-10-01T11:34:43+02:00";540.7380981445312
"Raspi_03";"2021-10-01T11:34:45+02:00";538.619873046875
"Raspi_03";"2021-10-01T11:34:47+02:00";535.3984985351562
"Raspi_03";"2021-10-01T11:34:49+02:00";534.7010498046875
"Raspi_03";"2021-10-01T11:34:51+02:00";534.3513793945312
"Raspi_03";"2021-10-01T11:34:53+02:00";533.3159790039062
"Raspi_03";"2021-10-01T11:34:55+02:00";533.4072875976562
"Raspi_03";"2021-10-01T11:34:57+02:00";534.7218017578125
"Raspi_03";"2021-10-01T11:35:00+02:00";536.389892578125
"Raspi_03";"2021-10-01T11:35:02+02:00";538.8448486328125
"Raspi_03";"2021-10-01T11:35:04+02:00";540.7317504882812
"Raspi_03";"2021-10-01T11:35:06+02:00";542.7413940429688
"Raspi_03";"2021-10-01T11:35:08+02:00";541.5377807617188
"Raspi_03";"2021-10-01T11:35:10+02:00";538.726318359375
"Raspi_03";"2021-10-01T11:35:12+02:00";537.1043090820312
"Raspi_03";"2021-10-01T11:35:14+02:00";535.2647094726562
"Raspi_03";"2021-10-01T11:35:16+02:00";536.0468139648438
